,product_name,price,spec_score,votes,user_rating,os,utility,thickness,weight,warranty,screen_size,resolution,ppi,battery,screen_feature,processor_name,processor_speed,no_cores,caches,graphics_card,ram_memory,internal_memory,port_connection,wireless_connection,usb_ports,hardware_features
10,Zebronics Pro Series Z ZEB-NBC 4S Laptop ,32990,64,309,4.1,Windows 11,Performance,19.9mm Average,1.76kg,1 Year,15.6inches,1920x1080 px,141,38.5Wh Battery,16:9   Aspect Ratio,Intel Integrated Graphics,2 x 1.3GHz (Turbo Speed upto 4.4GHz) Performance Cores8 x 900MHz (Turbo Speed upto 3.3GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12MB Cache,Intel Integrated Graphics,16GB DDR4 RAM,512GB SSD,"Ethernet (LAN), HDMI","WiFi, Bluetooth v5.0","1 x USB 2.0, 2 x USB 3.0, 2 x USB Type-C",2MP Camera
11,HP Victus 16-s0094AX Gaming Laptop ,81490,73,145,4.2,Windows 11,Gaming,24mm Thick,2.48kg,1 Year,16.1inches,1920x1080 px,137,"70Wh, 4 Cell Battery",16:9 Aspect Ratio,7th Gen AMD Ryzen 7 7840HS,8 x 3.8GHz (Turbo Speed upto 5.1GHz) Cores,"Octa Core, 16 Threads",16MB Cache,"6GB, NVIDIA GeForce RTX 3050 GraphicsLarge",16GB DDR5 RAM,1TB SSD,"Ethernet (LAN), HDMI, Thunderbolt","WiFi, Bluetooth v5.3","3 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
12,Wings Nuvobook V1 Laptop ,24990,51,1369,4.2,Windows 11,"Business, Performance",,1.6 kg,1 Year,15.6inches,1080x1920 px,141,17.85Wh Battery,Anti Glare,Intel Graphics Graphics,4 x 2.4GHz (Turbo Speed upto 4.2GHz) Cores,"Quad Core, 8 Threads",8MB Cache,Intel Graphics Graphics,8GB DDR4 RAM,512GB SSD,HDMI,"WiFi, Bluetooth","1 x USB 2.0, 2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
13,Dell Inspiron 3520 D560896WIN9B Laptop ,33990,56,1492,4.2,Windows 11,"Everyday Use, Business, Performance",21mm Thick,1.65kg,1 Year,15.6inches,1920x1080 px,141,"41Wh, 3 Cell Battery",Anti Glare,Intel UHD Graphics Graphics,2 x 1.2GHz (Turbo Speed upto 4.4GHz) Performance Cores4 x 900MHz (Turbo Speed upto 3.3GHz) Efficient Cores,"Hexa Core (2P + 4E), 8 Threads",10MB Cache,Intel UHD Graphics Graphics,8GB DDR4 RAM,512GB SSD,"HDMI, Display Port, Multi Card Reader","WiFi, Bluetooth v5.2","1 x USB 2.0, 2 x USB 3.0",Inbuilt Microphone
14,Lenovo V15 82KDA01BIH Laptop ,26749,57,772,4.1,Windows 11,Performance,19.9mm Average,1.74kg,1 Year,15.6inches,1920x1080 px,147,,Anti Glare,AMD Radeon Graphics Graphics,4 x 2.6GHz (Turbo Speed upto 3.8GHz) Cores,"Quad Core, 8 Threads",4MB Cache,AMD Radeon Graphics Graphics,8GB DDR4 RAM,512GB SSD,"Ethernet (LAN), HDMI, Multi Card Reader","WiFi, Bluetooth v5.0","1 x USB 2.0, 2 x USB 3.0, 1 x USB Type-C",1MP Camera
15,HP Victus 15-fa1099TX Laptop ,58990,64,107,4.3,Windows 11,Gaming,22.5mm Thick,2.37kg,1 Year,16.1inches,1920x1080 px,141,3 Cell Battery,Anti Glare,12th Gen Intel Core i5 12450H,4 x 2GHz (Turbo Speed upto 4.4GHz) Performance Cores4 x 1.5GHz (Turbo Speed upto 3.3GHz) Efficient Cores,"Octa Core (4P + 4E), 12 Threads",12MB Cache,"4GB, NVIDIA GeForce RTX 2050 GraphicsLargest",16GB DDR4 RAM,512GB SSD,"Ethernet (LAN), HDMI, Multi Card Reader","WiFi, Bluetooth v5.3","1 x USB 3.0, 2 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
16,Samsung Galaxy Book 4 NP750XGK-KS2IN Laptop ,79990,55,98,4.5,Windows 11,"Everyday Use, Business",15.4mm Slim,1.55kg,1 Year,15.6inches,1920x1080 px,141,54Wh Battery,Anti Glare,Intel Graphics Graphics,2 x 1.4GHz (Turbo Speed upto 5GHz) Performance Cores8 x 900MHz (Turbo Speed upto 3.8GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12MB Cache,Intel Graphics Graphics,16GB LPDDR4x RAM,512GB SSD,"Ethernet (LAN), HDMI","WiFi, Bluetooth v5.2","2 x USB 3.0, 2 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
17,Samsung Galaxy Book 4 NP750XGK-KS1IN Laptop ,74990,53,70,4.7,Windows 11,"Everyday Use, Business",15.4mm Slim,1.55kg,1 Year,15.6inches,1920x1080 px,141,54Wh Battery,Anti Glare,Intel Graphics Graphics,2 x 1.4GHz (Turbo Speed upto 5GHz) Performance Cores8 x 900MHz (Turbo Speed upto 3.8GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12MB Cache,Intel Graphics Graphics,8GB LPDDR4x RAM,512GB SSD,"Ethernet (LAN), HDMI","WiFi, Bluetooth v5.2","2 x USB 3.0, 2 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
18,HP 14s-dq5138tu Laptop ,39990,55,63,4.8,Windows 11,Performance,17.9mm Slim,1.46kg,1 Year,14inches,1920x1080 px,157,"41Wh, 3 Cell Battery",Anti Glare,Intel Integrated UHD Graphics,2 x 1.2GHz (Turbo Speed upto 4.4GHz) Performance Cores4 x 900MHz (Turbo Speed upto 3.3GHz) Efficient Cores,"Hexa Core (2P + 4E), 8 Threads",10MB Cache,Intel Integrated UHD Graphics,8GB DDR4 RAM,512GB SSD,HDMI,"WiFi, Bluetooth v5.0","2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
19,Zebronics ZEB-NBC 5S 2023 Laptop ,43990,66,212,4.1,Windows 11,Performance,19.9mm Average,1.76kg,1 Year,15.6inches,1920x1080 px,141,38.5Wh Battery,16:9   Aspect Ratio,Intel Integrated Graphics,2 x 1.7GHz (Turbo Speed upto 4.7GHz) Performance Cores8 x 1.2GHz (Turbo Speed upto 3.5GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12MB Cache,Intel Integrated Graphics,16GB DDR4 RAM,1TB SSD,"Ethernet (LAN), HDMI","WiFi, Bluetooth v5.0","1 x USB 2.0, 2 x USB 3.0, 2 x USB Type-C",2MP Camera
